id,name,identifiers,sources,given_name,family_name,birth_date,death_date,gender,image,memberships
psp:person:6491,Adam Vojtěch,"[{'scheme': 'psp', 'identifier': '6491'}]","[{'url': 'https://www.psp.cz/sqw/hp.sqw?k=1301', 'note': 'id_osoba=6491'}]",Adam,Vojtěch,1986-10-02,,male,https://www.psp.cz/eknih/cdrom/2025ps/eknih/2025ps/poslanci/i6491.jpg,"{""candidate_list"": [{""end_date"": """", ""id"": ""psp:org:1104"", ""name"": ""ANO2011"", ""start_date"": ""2025-10-04""}], ""constituency"": [{""end_date"": """", ""id"": ""psp:org:583"", ""name"": ""Jihočeský"", ""start_date"": ""2025-10-04""}], ""groups"": [{""end_date"": """", ""id"": ""psp:org:1750"", ""name"": ""ANO 2011"", ""start_date"": ""2025-10-08""}], ""parliament"": [{""end_date"": """", ""id"": ""psp:org:174"", ""name"": ""Poslanecká sněmovna"", ""start_date"": ""2025-10-04""}]}"
psp:person:6997,Adriana Chochelová,"[{'scheme': 'psp', 'identifier': '6997'}]","[{'url': 'https://www.psp.cz/sqw/hp.sqw?k=1301', 'note': 'id_osoba=6997'}]",Adriana,Chochelová,1997-12-25,,female,https://www.psp.cz/eknih/cdrom/2025ps/eknih/2025ps/poslanci/i6997.jpg,"{""candidate_list"": [{""end_date"": """", ""id"": ""psp:org:1289"", ""name"": ""Starostove a nezavisli"", ""start_date"": ""2025-10-04""}], ""constituency"": [{""end_date"": """", ""id"": ""psp:org:582"", ""name"": ""Středočeský"", ""start_date"": ""2025-10-04""}], ""groups"": [{""end_date"": """", ""id"": ""psp:org:1752"", ""name"": ""Starostové a nezávislí"", ""start_date"": ""2025-10-10""}], ""parliament"": [{""end_date"": """", ""id"": ""psp:org:174"", ""name"": ""Poslanecká sněmovna"", ""start_date"": ""2025-10-04""}]}"
psp:person:6545,Alena Schillerová,"[{'scheme': 'psp', 'identifier': '6545'}]","[{'url': 'https://www.psp.cz/sqw/hp.sqw?k=1301', 'note': 'id_osoba=6545'}]",Alena,Schillerová,1964-03-18,,female,https://www.psp.cz/eknih/cdrom/2025ps/eknih/2025ps/poslanci/i6545.jpg,"{""candidate_list"": [{""end_date"": """", ""id"": ""psp:org:1104"", ""name"": ""ANO2011"", ""start_date"": ""2025-10-04""}], ""constituency"": [{""end_date"": """", ""id"": ""psp:org:591"", ""name"": ""Jihomoravský"", ""start_date"": ""2025-10-04""}], ""groups"": [{""end_date"": """", ""id"": ""psp:org:1750"", ""name"": ""ANO 2011"", ""start_date"": ""2025-10-08""}], ""parliament"": [{""end_date"": """", ""id"": ""psp:org:174"", ""name"": ""Poslanecká sněmovna"", ""start_date"": ""2025-10-04""}]}"
psp:person:6463,Aleš Juchelka,"[{'scheme': 'psp', 'identifier': '6463'}]","[{'url': 'https://www.psp.cz/sqw/hp.sqw?k=1301', 'note': 'id_osoba=6463'}]",Aleš,Juchelka,1976-04-18,,male,https://www.psp.cz/eknih/cdrom/2025ps/eknih/2025ps/poslanci/i6463.jpg,"{""candidate_list"": [{""end_date"": """", ""id"": ""psp:org:1104"", ""name"": ""ANO2011"", ""start_date"": ""2025-10-04""}], ""constituency"": [{""end_date"": """", ""id"": ""psp:org:594"", ""name"": ""Moravskoslezský"", ""start_date"": ""2025-10-04""}], ""groups"": [{""end_date"": """", ""id"": ""psp:org:1750"", ""name"": ""ANO 2011"", ""start_date"": ""2025-10-08""}], ""parliament"": [{""end_date"": """", ""id"": ""psp:org:174"", ""name"": ""Poslanecká sněmovna"", ""start_date"": ""2025-10-04""}]}"
psp:person:6905,Andrea Hoffmannová,"[{'scheme': 'psp', 'identifier': '6905'}]","[{'url': 'https://www.psp.cz/sqw/hp.sqw?k=1301', 'note': 'id_osoba=6905'}]",Andrea,Hoffmannová,1983-02-25,,female,https://www.psp.cz/eknih/cdrom/2025ps/eknih/2025ps/poslanci/i6905.jpg,"{""candidate_list"": [{""end_date"": """", ""id"": ""psp:org:1290"", ""name"": ""Česká pirátská strana"", ""start_date"": ""2025-10-04""}], ""constituency"": [{""end_date"": """", ""id"": ""psp:org:594"", ""name"": ""Moravskoslezský"", ""start_date"": ""2025-10-04""}], ""groups"": [{""end_date"": """", ""id"": ""psp:org:1745"", ""name"": ""Piráti"", ""start_date"": ""2025-10-05""}], ""parliament"": [{""end_date"": """", ""id"": ""psp:org:174"", ""name"": ""Poslanecká sněmovna"", ""start_date"": ""2025-10-04""}]}"
psp:person:6150,Andrej Babiš,"[{'scheme': 'psp', 'identifier': '6150'}]","[{'url': 'https://www.psp.cz/sqw/hp.sqw?k=1301', 'note': 'id_osoba=6150'}]",Andrej,Babiš,1954-09-02,,male,https://www.psp.cz/eknih/cdrom/2025ps/eknih/2025ps/poslanci/i6150.jpg,"{""candidate_list"": [{""end_date"": """", ""id"": ""psp:org:1104"", ""name"": ""ANO2011"", ""start_date"": ""2025-10-04""}], ""constituency"": [{""end_date"": """", ""id"": ""psp:org:594"", ""name"": ""Moravskoslezský"", ""start_date"": ""2025-10-04""}], ""groups"": [{""end_date"": """", ""id"": ""psp:org:1750"", ""name"": ""ANO 2011"", ""start_date"": ""2025-10-08""}], ""parliament"": [{""end_date"": """", ""id"": ""psp:org:174"", ""name"": ""Poslanecká sněmovna"", ""start_date"": ""2025-10-04""}]}"
psp:person:7026,Anežka Nedomová,"[{'scheme': 'psp', 'identifier': '7026'}]","[{'url': 'https://www.psp.cz/sqw/hp.sqw?k=1301', 'note': 'id_osoba=7026'}]",Anežka,Nedomová,2001-01-30,,female,https://www.psp.cz/eknih/cdrom/2025ps/eknih/2025ps/poslanci/i7026.jpg,"{""candidate_list"": [{""end_date"": """", ""id"": ""psp:org:1289"", ""name"": ""Starostove a nezavisli"", ""start_date"": ""2025-10-04""}], ""constituency"": [{""end_date"": """", ""id"": ""psp:org:589"", ""name"": ""Pardubický"", ""start_date"": ""2025-10-04""}], ""groups"": [{""end_date"": """", ""id"": ""psp:org:1752"", ""name"": ""Starostové a nezávislí"", ""start_date"": ""2025-10-10""}], ""parliament"": [{""end_date"": """", ""id"": ""psp:org:174"", ""name"": ""Poslanecká sněmovna"", ""start_date"": ""2025-10-04""}]}"
psp:person:7035,Barbora Pipášová,"[{'scheme': 'psp', 'identifier': '7035'}]","[{'url': 'https://www.psp.cz/sqw/hp.sqw?k=1301', 'note': 'id_osoba=7035'}]",Barbora,Pipášová,1985-05-04,,female,https://www.psp.cz/eknih/cdrom/2025ps/eknih/2025ps/poslanci/i7035.jpg,"{""candidate_list"": [{""end_date"": """", ""id"": ""psp:org:1290"", ""name"": ""Česká pirátská strana"", ""start_date"": ""2025-10-04""}], ""constituency"": [{""end_date"": """", ""id"": ""psp:org:590"", ""name"": ""Vysočina"", ""start_date"": ""2025-10-04""}], ""groups"": [{""end_date"": """", ""id"": ""psp:org:1745"", ""name"": ""Piráti"", ""start_date"": ""2025-10-05""}], ""parliament"": [{""end_date"": """", ""id"": ""psp:org:174"", ""name"": ""Poslanecká sněmovna"", ""start_date"": ""2025-10-04""}]}"
psp:person:7038,Barbora Rázga,"[{'scheme': 'psp', 'identifier': '7038'}]","[{'url': 'https://www.psp.cz/sqw/hp.sqw?k=1301', 'note': 'id_osoba=7038'}]",Barbora,Rázga,1984-09-27,,female,https://www.psp.cz/eknih/cdrom/2025ps/eknih/2025ps/poslanci/i7038.jpg,"{""candidate_list"": [{""end_date"": """", ""id"": ""psp:org:1104"", ""name"": ""ANO2011"", ""start_date"": ""2025-10-04""}], ""constituency"": [{""end_date"": """", ""id"": ""psp:org:581"", ""name"": ""Hlavní město Praha"", ""start_date"": ""2025-10-04""}], ""groups"": [{""end_date"": """", ""id"": ""psp:org:1750"", ""name"": ""ANO 2011"", ""start_date"": ""2025-10-08""}], ""parliament"": [{""end_date"": """", ""id"": ""psp:org:174"", ""name"": ""Poslanecká sněmovna"", ""start_date"": ""2025-10-04""}]}"
psp:person:6788,Barbora Urbanová,"[{'scheme': 'psp', 'identifier': '6788'}]","[{'url': 'https://www.psp.cz/sqw/hp.sqw?k=1301', 'note': 'id_osoba=6788'}]",Barbora,Urbanová,1991-09-26,,female,https://www.psp.cz/eknih/cdrom/2025ps/eknih/2025ps/poslanci/i6788.jpg,"{""candidate_list"": [{""end_date"": """", ""id"": ""psp:org:1289"", ""name"": ""Starostove a nezavisli"", ""start_date"": ""2025-10-04""}], ""constituency"": [{""end_date"": """", ""id"": ""psp:org:582"", ""name"": ""Středočeský"", ""start_date"": ""2025-10-04""}], ""groups"": [{""end_date"": """", ""id"": ""psp:org:1752"", ""name"": ""Starostové a nezávislí"", ""start_date"": ""2025-10-10""}], ""parliament"": [{""end_date"": """", ""id"": ""psp:org:174"", ""name"": ""Poslanecká sněmovna"", ""start_date"": ""2025-10-04""}]}"
