person_id,person_name,party_id,party_name,term_id
psp:person:6491,Adam Vojtěch,psp:org:1104,ANO2011,psp:org:174
psp:person:6997,Adriana Chochelová,psp:org:1289,Starostove a nezavisli,psp:org:174
psp:person:6545,Alena Schillerová,psp:org:1104,ANO2011,psp:org:174
psp:person:6463,Aleš Juchelka,psp:org:1104,ANO2011,psp:org:174
psp:person:6905,Andrea Hoffmannová,psp:org:1290,Česká pirátská strana,psp:org:174
psp:person:6150,Andrej Babiš,psp:org:1104,ANO2011,psp:org:174
psp:person:7026,Anežka Nedomová,psp:org:1289,Starostove a nezavisli,psp:org:174
psp:person:7035,Barbora Pipášová,psp:org:1290,Česká pirátská strana,psp:org:174
psp:person:7038,Barbora Rázga,psp:org:1104,ANO2011,psp:org:174
psp:person:6788,Barbora Urbanová,psp:org:1289,Starostove a nezavisli,psp:org:174
psp:person:6998,Benjamin Činčila,psp:org:1533,Spolu,psp:org:174
psp:person:6780,Berenika Peštová,psp:org:1104,ANO2011,psp:org:174
psp:person:7028,Bohuslav Niemiec,psp:org:1533,Spolu,psp:org:174
psp:person:5512,Boris Šťastný,psp:org:1744,Motoristé sobě,psp:org:174
psp:person:6209,David Kasal,psp:org:1104,ANO2011,psp:org:174
psp:person:6527,David Pražák,psp:org:1104,ANO2011,psp:org:174
psp:person:6484,David Štolpa,psp:org:1104,ANO2011,psp:org:174
psp:person:7000,Denis Doksanský,psp:org:1104,ANO2011,psp:org:174
psp:person:6991,Drahomír Blažej,psp:org:1104,ANO2011,psp:org:174
psp:person:6782,Drahoslav Ryba,psp:org:1104,ANO2011,psp:org:174
psp:person:6766,Eliška Olšáková,psp:org:1289,Starostove a nezavisli,psp:org:174
psp:person:7061,Ester Weimerová,psp:org:1289,Starostove a nezavisli,psp:org:174
psp:person:6727,Eva Decroix,psp:org:1533,Spolu,psp:org:174
psp:person:6457,Eva Fialová,psp:org:1104,ANO2011,psp:org:174
psp:person:7046,Eva Šrámková,psp:org:1290,Česká pirátská strana,psp:org:174
psp:person:7059,Filip Turek,psp:org:1744,Motoristé sobě,psp:org:174
psp:person:6995,František Bureš,psp:org:1104,ANO2011,psp:org:174
psp:person:6409,František Petrtýl,psp:org:1104,ANO2011,psp:org:174
psp:person:7052,František Talíř,psp:org:1533,Spolu,psp:org:174
psp:person:7041,Gabriela Sedláčková,psp:org:1744,Motoristé sobě,psp:org:174
psp:person:7049,Gabriela Svárovská,psp:org:1290,Česká pirátská strana,psp:org:174
psp:person:6986,Hana Ančincová,psp:org:1290,Česká pirátská strana,psp:org:174
psp:person:6769,Hayato Okamura,psp:org:1533,Spolu,psp:org:174
psp:person:5943,Helena Langšádlová,psp:org:1533,Spolu,psp:org:174
psp:person:6168,Helena Válková,psp:org:1104,ANO2011,psp:org:174
psp:person:6738,Hubert Lang,psp:org:1104,ANO2011,psp:org:174
psp:person:6758,Igor Hendrych,psp:org:1104,ANO2011,psp:org:174
psp:person:6996,Igor Červený,psp:org:1744,Motoristé sobě,psp:org:174
psp:person:7003,Irena Ferčíková Konečná,psp:org:1290,Česká pirátská strana,psp:org:174
psp:person:7027,Irena Němcová,psp:org:1291,Svoboda a prima demokracie - Tomio Okamura,psp:org:174
psp:person:5700,Ivan Adamec,psp:org:1533,Spolu,psp:org:174
